City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,el granada,37.5027,-122.4694,19.57,84,100,5.14,US,1725294648
84,olonkinbyen,70.9221,-8.7187,6.51,91,99,10.32,SJ,1725294582
85,uacu cungo,-11.3634,15.1208,27.06,20,40,0.94,AO,1725294652
86,san sebastian de la gomera,28.0916,-17.1133,25.2,69,20,3.09,ES,1725294653
87,nasiriyah,31.0521,46.261,39.42,16,0,8.0,IQ,1725294654
88,ulladulla,-35.35,150.4667,10.06,45,0,3.81,AU,1725294623
89,argo,37.6333,22.7333,26.58,56,79,0.58,GR,1725294656
90,yuzhno-kurilsk,44.0306,145.8556,18.0,96,100,3.62,RU,1725294657
91,ondo,7.1,4.8333,25.72,79,100,1.38,NG,1725294659
92,new kingman-butler,35.265,-114.0323,31.54,19,0,2.06,US,1725294660
93,pundong,-7.9522,110.3486,22.44,90,63,0.8,ID,1725294661
94,constantia,44.1833,28.65,27.61,77,65,1.33,RO,1725294662
95,nova vicosa,-17.8919,-39.3719,28.67,50,8,6.6,BR,1725294622
96,summerside,46.3959,-63.7876,20.07,52,81,5.14,CA,1725294664
97,iqaluit,63.7506,-68.5145,4.85,75,100,2.57,CA,1725294665
98,ilulissat,69.2167,-51.1,4.01,81,75,1.54,GL,1725294666
99,ta`u,-14.2336,-169.5144,25.53,80,16,6.13,AS,1725294668
100,kletskaya,49.3145,43.0584,26.61,24,92,7.92,RU,1725294669
101,ushuaia,-54.8,-68.3,7.81,57,40,1.03,AR,1725294474
102,galliano,29.4422,-90.2992,30.0,66,0,2.06,US,1725294671
103,carnarvon,-24.8667,113.6333,20.36,75,0,4.85,AU,1725294604
104,praya,14.9215,-23.5087,30.3,58,40,7.72,CV,1725294673
105,tagiura,32.8817,13.3506,29.25,67,0,8.15,LY,1725294674
106,tura,25.5198,90.2201,24.71,90,92,1.07,IN,1725294675
107,lihue,21.9789,-159.3672,25.77,81,0,5.14,US,1725294676
108,bude,50.8243,-4.5413,19.57,88,100,2.68,GB,1725294421
109,tokonou,9.65,-9.7833,22.95,95,96,2.82,GN,1725294679
110,jamestown,42.097,-79.2353,18.9,54,75,4.12,US,1725294680
111,atafu village,-8.5421,-172.5159,28.0,72,16,8.39,TK,1725294682
112,christchurch,-43.5333,172.6333,16.85,50,0,6.69,NZ,1725294427
113,snina,48.9886,22.151,22.41,60,6,2.27,SK,1725294684
114,vilyuchinsk,52.9306,158.4028,13.15,73,94,2.33,RU,1725294686
115,aden,12.7794,45.0367,29.28,73,15,3.06,YE,1725294687
116,seybaplaya,19.65,-90.6667,31.7,61,84,2.68,MX,1725294688
117,brady,31.1352,-99.3351,23.25,100,75,3.6,US,1725294689
118,dunedin,-45.8742,170.5036,14.22,58,0,7.21,NZ,1725294569
119,tibati,6.4667,12.6333,20.77,93,100,1.78,CM,1725294692
120,tosontsengel,48.7567,98.2839,9.87,31,30,1.8,MN,1725294693
121,san patricio,28.017,-97.5169,29.97,64,36,4.71,US,1725294694
122,lazaro cardenas,17.9583,-102.2,27.74,78,97,1.21,MX,1725294696
123,williams lake,52.1415,-122.1445,16.76,60,75,1.54,CA,1725294697
